release_year,album,title,lyrics
1963,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Talkin’ John Birch Paranoid Blues,"Well, I was feelin’ sad and feelin’ blue

I didn’t know what in the world I wus gonna do

Them Communists they wus comin’ around

They wus in the air

They wus on the ground

They wouldn’t gimme no peace . . .



So I run down most hurriedly

And joined up with the John Birch Society

I got me a secret membership card

And started off a-walkin’ down the road

Yee-hoo, I’m a real John Bircher now!

Look out you Commies!



Now we all agree with Hitler’s views

Although he killed six million Jews

It don’t matter too much that he was a Fascist

At least you can’t say he was a Communist!

That’s to say like if you got a cold you take a shot of malaria



Well, I wus lookin’ everywhere for them gol-darned Reds

I got up in the mornin’ ’n’ looked under my bed

Looked in the sink, behind the door

Looked in the glove compartment of my car

Couldn’t find ’em . . .



I wus lookin’ high an’ low for them Reds everywhere

I wus lookin’ in the sink an’ underneath the chair

I looked way up my chimney hole

I even looked deep down inside my toilet bowl

They got away . . .



Well, I wus sittin’ home alone an’ started to sweat

Figured they wus in my T.V. set

Peeked behind the picture frame

Got a shock from my feet, hittin’ right up in the brain

Them Reds caused it!

I know they did . . . them hard-core ones



Well, I quit my job so I could work all alone

Then I changed my name to Sherlock Holmes

Followed some clues from my detective bag

And discovered they wus red stripes on the American flag!

That ol’ Betsy Ross . . .



Well, I investigated all the books in the library

Ninety percent of ’em gotta be burned away

I investigated all the people that I knowed

Ninety-eight percent of them gotta go

The other two percent are fellow Birchers . . . just like me



Now Eisenhower, he’s a Russian spy

Lincoln, Jefferson and that Roosevelt guy

To my knowledge there’s just one man

That’s really a true American: George Lincoln Rockwell

I know for a fact he hates Commies cus he picketed the movie Exodus



Well, I fin’ly started thinkin’ straight

When I run outa things to investigate

Couldn’t imagine doin’ anything else

So now I’m sittin’ home investigatin’ myself!

Hope I don’t find out anything . . . hmm, great God!
"
1963,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Paths of Victory,"Trails of troubles

Roads of battles

Paths of victory

I shall walk



The trail is dusty

And my road it might be rough

But the better roads are waiting

And boys it ain’t far off



Trails of troubles

Roads of battles

Paths of victory

We shall walk



I walked down by the river

I turned my head up high

I saw that silver linin’

That was hangin’ in the sky



Trails of troubles

Roads of battles

Paths of victory

We shall walk



The evenin’ dusk was rollin’

I was walking down the track

There was a one-way wind a-blowin’

And it was blowin’ at my back



Trails of troubles

Roads of battles

Paths of victory

We shall walk



The gravel road is bumpy

It’s a hard road to ride

But there’s a clearer road a-waitin’

With the cinders on the side



Trails of troubles

Roads of battles

Paths of victory

We shall walk



That evening train was rollin’

The hummin’ of its wheels

My eyes they saw a better day

As I looked across the fields



Trails of troubles

Roads of battles

Paths of victory

We shall walk



The trail is dusty

The road it might be rough

But the good road is a-waitin’

And boys it ain’t far off



Trails of troubles

Roads of battles

Paths of victory

We shall walk
"
1963,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Walls of Red Wing,"Oh, the age of the inmates

I remember quite freely:

No younger than twelve

No older ’n seventeen

Thrown in like bandits

And cast off like criminals

Inside the walls

The walls of Red Wing



From the dirty old mess hall

You march to the brick wall

Too weary to talk

And too tired to sing

Oh, it’s all afternoon

You remember your hometown

Inside the walls

The walls of Red Wing



Oh, the gates are cast iron

And the walls are barbed wire

Stay far from the fence

With the ’lectricity sting

And it’s keep down your head

And stay in your number

Inside the walls

The walls of Red Wing



Oh, it’s fare thee well

To the deep hollow dungeon

Farewell to the boardwalk

That takes you to the screen

And farewell to the minutes

They threaten you with it

Inside the walls

The walls of Red Wing



It’s many a guard

That stands around smilin’

Holdin’ his club

Like he was a king

Hopin’ to get you

Behind a wood pilin’

Inside the walls

The walls of Red Wing



The night aimed shadows

Through the crossbar windows

And the wind punched hard

To make the wall-siding sing

It’s many a night

I pretended to be a-sleepin’

Inside the walls

The walls of Red Wing



As the rain rattled heavy

On the bunkhouse shingles

And the sounds in the night

They made my ears ring

’Til the keys of the guards

Clicked the tune of the morning

Inside the walls

The walls of Red Wing



Oh, some of us’ll end up

In St. Cloud Prison

And some of us’ll wind up

To be lawyers and things

And some of us’ll stand up

To meet you on your crossroads

From inside the walls

The walls of Red Wing"
1963,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Last Thoughts On Woody Guthrie,"When yer head gets twisted and yer mind grows numb

When you think you're too old, too young, too smart or too dumb

When yer laggin' behind an' losin' yer pace

In a slow-motion crawl of life's busy race

No matter what yer doing if you start givin' up

If the wine don't come to the top of yer cup

If the wind's got you sideways with with one hand holdin' on

And the other starts slipping and the feeling is gone

And yer train engine fire needs a new spark to catch it

And the wood's easy findin' but yer lazy to fetch it

And yer sidewalk starts curlin' and the street gets too long

And you start walkin' backwards though you know its wrong

And lonesome comes up as down goes the day

And tomorrow's mornin' seems so far away

And you feel the reins from yer pony are slippin'

And yer rope is a-slidin' 'cause yer hands are a-drippin'

And yer sun-decked desert and evergreen valleys

Turn to broken down slums and trash-can alleys

And yer sky cries water and yer drain pipe's a-pourin'

And the lightnin's a-flashing and the thunder's a-crashin'

And the windows are rattlin' and breakin' and the roof tops a-shakin'

And yer whole world's a-slammin' and bangin'

And yer minutes of sun turn to hours of storm

And to yourself you sometimes say

""I never knew it was gonna be this way

Why didn't they tell me the day I was born""

And you start gettin' chills and yer jumping from sweat

And you're lookin' for somethin' you ain't quite found yet

And yer knee-deep in the dark water with yer hands in the air

And the whole world's a-watchin' with a window peek stare

And yer good gal leaves and she's long gone a-flying

And yer heart feels sick like fish when they're fryin'

And yer jackhammer falls from yer hand to yer feet

And you need it badly but it lays on the street

And yer bell's bangin' loudly but you can't hear its beat

And you think yer ears might a been hurt

Or yer eyes've turned filthy from the sight-blindin' dirt

And you figured you failed in yesterdays rush

When you were faked out an' fooled white facing a four flush

And all the time you were holdin' three queens

And it's makin you mad, it's makin' you mean

Like in the middle of Life magazine

Bouncin' around a pinball machine

And there's something on yer mind you wanna be saying

That somebody someplace oughta be hearin'

But it's trapped on yer tongue and sealed in yer head

And it bothers you badly when your layin' in bed

And no matter how you try you just can't say it

And yer scared to yer soul you just might forget it

And yer eyes get swimmy from the tears in yer head

And yer pillows of feathers turn to blankets of lead

And the lion's mouth opens and yer staring at his teeth

And his jaws start closin with you underneath

And yer flat on your belly with yer hands tied behind

And you wish you'd never taken that last detour sign

And you say to yourself just what am I doin'

On this road I'm walkin', on this trail I'm turnin'

On this curve I'm hanging

On this pathway I'm strolling, in the space I'm taking

In this air I'm inhaling

Am I mixed up too much, am I mixed up too hard

Why am I walking, where am I running

What am I saying, what am I knowing

On this guitar I'm playing, on this banjo I'm frailin'

On this mandolin I'm strummin', in the song I'm singin'

In the tune I'm hummin', in the words I'm writin'

In the words that I'm thinkin'

In this ocean of hours I'm all the time drinkin'

Who am I helping, what am I breaking

What am I giving, what am I taking

But you try with your whole soul best

Never to think these thoughts and never to let

Them kind of thoughts gain ground

Or make yer heart pound

But then again you know why they're around

Just waiting for a chance to slip and drop down

""Cause sometimes you hear'em when the night times comes creeping

And you fear that they might catch you a-sleeping

And you jump from yer bed, from yer last chapter of dreamin'

And you can't remember for the best of yer thinking

If that was you in the dream that was screaming

And you know that it's something special you're needin'

And you know that there's no drug that'll do for the healin'

And no liquor in the land to stop yer brain from bleeding

And you need something special

Yeah, you need something special all right

You need a fast flyin' train on a tornado track

To shoot you someplace and shoot you back

You need a cyclone wind on a stream engine howler

That's been banging and booming and blowing forever

That knows yer troubles a hundred times over

You need a Greyhound bus that don't bar no race

That won't laugh at yer looks

Your voice or your face

And by any number of bets in the book

Will be rollin' long after the bubblegum craze

You need something to open up a new door

To show you something you seen before

But overlooked a hundred times or more

You need something to open your eyes

You need something to make it known

That it's you and no one else that owns

That spot that yer standing, that space that you're sitting

That the world ain't got you beat

That it ain't got you licked

It can't get you crazy no matter how many

Times you might get kicked

You need something special all right

You need something special to give you hope

But hope's just a word

That maybe you said or maybe you heard

On some windy corner 'round a wide-angled curve



But that's what you need man, and you need it bad

And yer trouble is you know it too good

""Cause you look an' you start getting the chills



""Cause you can't find it on a dollar bill

And it ain't on Macy's window sill

And it ain't on no rich kid's road map

And it ain't in no fat kid's fraternity house

And it ain't made in no Hollywood wheat germ

And it ain't on that dimlit stage

With that half-wit comedian on it

Ranting and raving and taking yer money

And you thinks it's funny

No you can't find it in no night club or no yacht club

And it ain't in the seats of a supper club

And sure as hell you're bound to tell

That no matter how hard you rub

You just ain't a-gonna find it on yer ticket stub

No, and it ain't in the rumors people're tellin' you

And it ain't in the pimple-lotion people are sellin' you

And it ain't in no cardboard-box house

Or down any movie star's blouse

And you can't find it on the golf course

And Uncle Remus can't tell you and neither can Santa Claus

And it ain't in the cream puff hair-do or cotton candy clothes

And it ain't in the dime store dummies or bubblegum goons

And it ain't in the marshmallow noises of the chocolate cake voices

That come knockin' and tappin' in Christmas wrappin'

Sayin' ain't I pretty and ain't I cute and look at my skin

Look at my skin shine, look at my skin glow

Look at my skin laugh, look at my skin cry

When you can't even sense if they got any insides

These people so pretty in their ribbons and bows

No you'll not now or no other day

Find it on the doorsteps made out-a paper mache¥

And inside it the people made of molasses

That every other day buy a new pair of sunglasses

And it ain't in the fifty-star generals and flipped-out phonies

Who'd turn yuh in for a tenth of a penny

Who breathe and burp and bend and crack

And before you can count from one to ten

Do it all over again but this time behind yer back

My friend

The ones that wheel and deal and whirl and twirl

And play games with each other in their sand-box world

And you can't find it either in the no-talent fools

That run around gallant

And make all rules for the ones that got talent

And it ain't in the ones that ain't got any talent but think they do

And think they're foolin' you

The ones who jump on the wagon

Just for a while 'cause they know it's in style

To get their kicks, get out of it quick

And make all kinds of money and chicks

And you yell to yourself and you throw down yer hat

Sayin', ""Christ do I gotta be like that

Ain't there no one here that knows where I'm at

Ain't there no one here that knows how I feel

Good God Almighty

THAT STUFF AIN'T REAL""



No but that ain't yer game, it ain't even yer race

You can't hear yer name, you can't see yer face

You gotta look some other place

And where do you look for this hope that yer seekin'

Where do you look for this lamp that's a-burnin'

Where do you look for this oil well gushin'

Where do you look for this candle that's glowin'

Where do you look for this hope that you know is there

And out there somewhere

And your feet can only walk down two kinds of roads

Your eyes can only look through two kinds of windows

Your nose can only smell two kinds of hallways

You can touch and twist

And turn two kinds of doorknobs

You can either go to the church of your choice

Or you can go to Brooklyn State Hospital

You'll find God in the church of your choice

You'll find Woody Guthrie in Brooklyn State Hospital



And though it's only my opinion

I may be right or wrong

You'll find them both

In the Grand Canyon

At sundown"
1963,The Freewheelin',Down the Highway,"Well, I’m walkin’ down the highway
 
 With my suitcase in my hand
 
 Yes, I’m walkin’ down the highway
 
 With my suitcase in my hand
 
 Lord, I really miss my baby
 
 She’s in some far-off land
 
 
 
 Well, your streets are gettin’ empty
 
 Lord, your highway’s gettin’ filled
 
 And your streets are gettin’ empty
 
 And your highway’s gettin’ filled
 
 Well, the way I love that woman
 
 I swear it’s bound to get me killed
 
 
 
 Well, I been gamblin’ so long
 
 Lord, I ain’t got much more to lose
 
 Yes, I been gamblin’ so long
 
 Lord, I ain’t got much more to lose
 
 Right now I’m havin’ trouble
 
 Please don’t take away my highway shoes
 
 
 
 Well, I’m bound to get lucky, baby
 
 Or I’m bound to die tryin’
 
 Yes, I’m a-bound to get lucky, baby
 
 Lord, Lord I’m a-bound to die tryin’
 
 Well, meet me in the middle of the ocean
 
 And we’ll leave this ol’ highway behind
 
 
 
 Well, the ocean took my baby
 
 My baby stole my heart from me
 
 Yes, the ocean took my baby
 
 My baby took my heart from me
 
 She packed it all up in a suitcase
 
 Lord, she took it away to Italy, Italy
 
 
 
 So, I’m a-walkin’ down your highway
 
 Just as far as my poor eyes can see
 
 Yes, I’m a-walkin’ down your highway
 
 Just as far as my eyes can see
 
 From the Golden Gate Bridge
 
 All the way to the Statue of Liberty"
1963,The Freewheelin',Masters of War,"Come you masters of war
 
 You that build all the guns
 
 You that build the death planes
 
 You that build the big bombs
 
 You that hide behind walls
 
 You that hide behind desks
 
 I just want you to know
 
 I can see through your masks
 
 
 
 You that never done nothin’
 
 But build to destroy
 
 You play with my world
 
 Like it’s your little toy
 
 You put a gun in my hand
 
 And you hide from my eyes
 
 And you turn and run farther
 
 When the fast bullets fly
 
 
 
 Like Judas of old
 
 You lie and deceive
 
 A world war can be won
 
 You want me to believe
 
 But I see through your eyes
 
 And I see through your brain
 
 Like I see through the water
 
 That runs down my drain
 
 
 
 You fasten the triggers
 
 For the others to fire
 
 Then you set back and watch
 
 When the death count gets higher
 
 You hide in your mansion
 
 As young people’s blood
 
 Flows out of their bodies
 
 And is buried in the mud
 
 
 
 You’ve thrown the worst fear
 
 That can ever be hurled
 
 Fear to bring children
 
 Into the world
 
 For threatening my baby
 
 Unborn and unnamed
 
 You ain’t worth the blood
 
 That runs in your veins
 
 
 
 How much do I know
 
 To talk out of turn
 
 You might say that I’m young
 
 You might say I’m unlearned
 
 But there’s one thing I know
 
 Though I’m younger than you
 
 Even Jesus would never
 
 Forgive what you do
 
 
 
 Let me ask you one question
 
 Is your money that good
 
 Will it buy you forgiveness
 
 Do you think that it could
 
 I think you will find
 
 When your death takes its toll
 
 All the money you made
 
 Will never buy back your soul
 
 
 
 And I hope that you die
 
 And your death’ll come soon
 
 I will follow your casket
 
 In the pale afternoon
 
 And I’ll watch while you’re lowered
 
 Down to your deathbed
 
 And I’ll stand o’er your grave
 
 ’Til I’m sure that you’re dead"
1963,The Freewheelin',Bob Dylan's Blues,"Well, the Lone Ranger and Tonto
 
 They are ridin’ down the line
 
 Fixin’ ev’rybody’s troubles
 
 Ev’rybody’s ’cept mine
 
 Somebody musta tol’ ’em
 
 That I was doin’ fine
 
 
 
 Oh you five and ten cent women
 
 With nothin’ in your heads
 
 I got a real gal I’m lovin’
 
 And Lord I’ll love her till I’m dead
 
 Go away from my door and my window too
 
 Right now
 
 
 
 Lord, I ain’t goin’ down to no race track
 
 See no sports car run
 
 I don’t have no sports car
 
 And I don’t even care to have one
 
 I can walk anytime around the block
 
 
 
 Well, the wind keeps a-blowin’ me
 
 Up and down the street
 
 With my hat in my hand
 
 And my boots on my feet
 
 Watch out so you don’t step on me
 
 
 
 Well, lookit here buddy
 
 You want to be like me
 
 Pull out your six-shooter
 
 And rob every bank you can see
 
 Tell the judge I said it was all right
 
 Yes!"
1963,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Walkin’ Down the Line,"Well, I’m walkin’ down the line

I’m walkin’ down the line

An’ I’m walkin’ down the line

My feet’ll be a-flyin’

To tell about my troubled mind



I got a heavy-headed gal

I got a heavy-headed gal

I got a heavy-headed gal

She ain’t a-feelin’ well

When she’s better only time will tell



Well, I’m walkin’ down the line

I’m walkin’ down the line

An’ I’m walkin’ down the line

My feet’ll be a-flyin’

To tell about my troubled mind



My money comes and goes

My money comes and goes

My money comes and goes

And rolls and flows and rolls and flows

Through the holes in the pockets in my clothes



Well, I’m walkin’ down the line

I’m walkin’ down the line

An’ I’m walkin’ down the line

My feet’ll be a-flyin’

To tell about my troubled mind



I see the morning light

I see the morning light

Well, it’s not because

I’m an early riser

I didn’t go to sleep last night



Well, I’m walkin’ down the line

I’m walkin’ down the line

An’ I’m walkin’ down the line

My feet’ll be a-flyin’

To tell about my troubled mind



I got my walkin’ shoes

I got my walkin’ shoes

I got my walkin’ shoes

An’ I ain’t a-gonna lose

I believe I got the walkin’ blues



Well, I’m walkin’ down the line

I’m walkin’ down the line

An’ I’m walkin’ down the line

My feet’ll be a-flyin’

To tell about my troubled mind"
1963,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Only a Hobo,"As I was out walking on a corner one day

I spied an old hobo, in a doorway he lay

His face was all grounded in the cold sidewalk floor

And I guess he’d been there for the whole night or more



Only a hobo, but one more is gone

Leavin’ nobody to sing his sad song

Leavin’ nobody to carry him home

Only a hobo, but one more is gone



A blanket of newspaper covered his head

As the curb was his pillow, the street was his bed

One look at his face showed the hard road he’d come

And a fistful of coins showed the money he bummed



Only a hobo, but one more is gone

Leavin’ nobody to sing his sad song

Leavin’ nobody to carry him home

Only a hobo, but one more is gone



Does it take much of a man to see his whole life go down

To look up on the world from a hole in the ground

To wait for your future like a horse that’s gone lame

To lie in the gutter and die with no name?



Only a hobo, but one more is gone

Leavin’ nobody to sing his sad song

Leavin’ nobody to carry him home

Only a hobo, but one more is gone"
1963,The Freewheelin',Girl from the North Country,"Well, if you’re travelin’ in the north country fair
 
 Where the winds hit heavy on the borderline
 
 Remember me to one who lives there
 
 She once was a true love of mine
 
 
 
 Well, if you go when the snowflakes storm
 
 When the rivers freeze and summer ends
 
 Please see if she’s wearing a coat so warm
 
 To keep her from the howlin’ winds
 
 
 
 Please see for me if her hair hangs long,
 
 If it rolls and flows all down her breast.
 
 Please see for me if her hair hangs long,
 
 That’s the way I remember her best.
 
 
 
 I’m a-wonderin’ if she remembers me at all
 
 Many times I’ve often prayed
 
 In the darkness of my night
 
 In the brightness of my day
 
 
 
 So if you’re travelin’ in the north country fair
 
 Where the winds hit heavy on the borderline
 
 Remember me to one who lives there
 
 She once was a true love of mine"
1963,The Freewheelin',Blowin' in the wind,"How many roads must a man walk down
 
 Before you call him a man?
 
 Yes, ’n’ how many seas must a white dove sail
 
 Before she sleeps in the sand?
 
 Yes, ’n’ how many times must the cannonballs fly
 
 Before they’re forever banned?
 
 The answer, my friend, is blowin’ in the wind
 
 The answer is blowin’ in the wind
 
 
 
 How many years can a mountain exist
 
 Before it’s washed to the sea?
 
 Yes, ’n’ how many years can some people exist
 
 Before they’re allowed to be free?
 
 Yes, ’n’ how many times can a man turn his head
 
 Pretending he just doesn’t see?
 
 The answer, my friend, is blowin’ in the wind
 
 The answer is blowin’ in the wind
 
 
 
 How many times must a man look up
 
 Before he can see the sky?
 
 Yes, ’n’ how many ears must one man have
 
 Before he can hear people cry?
 
 Yes, ’n’ how many deaths will it take till he knows
 
 That too many people have died?
 
 The answer, my friend, is blowin’ in the wind
 
 The answer is blowin’ in the wind"
1963,The Freewheelin',A Hard Rain's A-Gonna Fall,"Oh, where have you been, my blue-eyed son?
 
 Oh, where have you been, my darling young one?
 
 I’ve stumbled on the side of twelve misty mountains
 
 I’ve walked and I’ve crawled on six crooked highways
 
 I’ve stepped in the middle of seven sad forests
 
 I’ve been out in front of a dozen dead oceans
 
 I’ve been ten thousand miles in the mouth of a graveyard
 
 And it’s a hard, and it’s a hard, it’s a hard, and it’s a hard
 
 And it’s a hard rain’s a-gonna fall
 
 
 
 Oh, what did you see, my blue-eyed son?
 
 Oh, what did you see, my darling young one?
 
 I saw a newborn baby with wild wolves all around it
 
 I saw a highway of diamonds with nobody on it
 
 I saw a black branch with blood that kept drippin’
 
 I saw a room full of men with their hammers a-bleedin’
 
 I saw a white ladder all covered with water
 
 I saw ten thousand talkers whose tongues were all broken
 
 I saw guns and sharp swords in the hands of young children
 
 And it’s a hard, and it’s a hard, it’s a hard, it’s a hard
 
 And it’s a hard rain’s a-gonna fall
 
 
 
 And what did you hear, my blue-eyed son?
 
 And what did you hear, my darling young one?
 
 I heard the sound of a thunder, it roared out a warnin’
 
 Heard the roar of a wave that could drown the whole world
 
 Heard one hundred drummers whose hands were a-blazin’
 
 Heard ten thousand whisperin’ and nobody listenin’
 
 Heard one person starve, I heard many people laughin’
 
 Heard the song of a poet who died in the gutter
 
 Heard the sound of a clown who cried in the alley
 
 And it’s a hard, and it’s a hard, it’s a hard, it’s a hard
 
 And it’s a hard rain’s a-gonna fall
 
 
 
 Oh, who did you meet, my blue-eyed son?
 
 Who did you meet, my darling young one?
 
 I met a young child beside a dead pony
 
 I met a white man who walked a black dog
 
 I met a young woman whose body was burning
 
 I met a young girl, she gave me a rainbow
 
 I met one man who was wounded in love
 
 I met another man who was wounded with hatred
 
 And it’s a hard, it’s a hard, it’s a hard, it’s a hard
 
 It’s a hard rain’s a-gonna fall
 
 
 
 Oh, what’ll you do now, my blue-eyed son?
 
 Oh, what’ll you do now, my darling young one?
 
 I’m a-goin’ back out ’fore the rain starts a-fallin’
 
 I’ll walk to the depths of the deepest black forest
 
 Where the people are many and their hands are all empty
 
 Where the pellets of poison are flooding their waters
 
 Where the home in the valley meets the damp dirty prison
 
 Where the executioner’s face is always well hidden
 
 Where hunger is ugly, where souls are forgotten
 
 Where black is the color, where none is the number
 
 And I’ll tell it and think it and speak it and breathe it
 
 And reflect it from the mountain so all souls can see it
 
 Then I’ll stand on the ocean until I start sinkin’
 
 But I’ll know my song well before I start singin’
 
 And it’s a hard, it’s a hard, it’s a hard, it’s a hard
 
 It’s a hard rain’s a-gonna fall"
1963,The Freewheelin',Oxford Town,"Oxford Town, Oxford Town
 
 Ev’rybody’s got their heads bowed down
 
 The sun don’t shine above the ground
 
 Ain’t a-goin’ down to Oxford Town
 
 
 
 He went down to Oxford Town
 
 Guns and clubs followed him down
 
 All because his face was brown
 
 Better get away from Oxford Town
 
 
 
 Oxford Town around the bend
 
 He come in to the door, he couldn’t get in
 
 All because of the color of his skin
 
 What do you think about that, my frien’?
 
 
 
 Me and my gal, my gal’s son
 
 We got met with a tear gas bomb
 
 I don’t even know why we come
 
 Goin’ back where we come from
 
 
 
 Oxford Town in the afternoon
 
 Ev’rybody singin’ a sorrowful tune
 
 Two men died ’neath the Mississippi moon
 
 Somebody better investigate soon
 
 
 
 Oxford Town, Oxford Town
 
 Ev’rybody’s got their heads bowed down
 
 The sun don’t shine above the ground
 
 Ain’t a-goin’ down to Oxford Town"
1963,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Eternal Circle,"I sang the song slowly

As she stood in the shadows

She stepped to the light

As my silver strings spun

She called with her eyes

To the tune I’s a-playin’

But the song it was long

And I’d only begun



Through a bullet of light

Her face was reflectin’

The fast fading words

That rolled from my tongue

With a long-distance look

Her eyes was on fire

But the song it was long

And there was more to be sung



My eyes danced a circle

Across her clear outline

With her head tilted sideways

She called me again

As the tune drifted out

She breathed hard through the echo

But the song it was long

And it was far to the end



I glanced at my guitar

And played it pretendin’

That of all the eyes out there

I could see none

As her thoughts pounded hard

Like the pierce of an arrow

But the song it was long

And it had to get done



As the tune finally folded

I laid down the guitar

Then looked for the girl

Who’d stayed for so long

But her shadow was missin’

For all of my searchin’

So I picked up my guitar

And began the next song"
